network,nodes,avg_degree,max_degree,avg_clustering,avg_common_neighbors,max_common_neighbors,degree_time,clustering_time,common_neighbors_time
Facebook,41536,65.59225731895224,4410,0.21183631729103886,15.873638619312592,1461,0.0647425651550293,12.341534614562988,19.43606185913086
YouTube,1134890,5.265045951590022,28754,0.08080227776190227,3.069046841235711,4034,1.5541000366210938,90.10923075675964,169.19499826431274
Protein,19576,579.9476910502656,7873,0.3168036732655055,421.18720404444406,5782,1.184300184249878,409.7018542289734,488.8055171966553
