method,beta,gamma,num_trials,num_initial_nodes,min,max,q1,median,q3,mean,total_nodes
centrality,0.02,0.1,500,1,8785,10153,9383.25,9535.0,9681.0,9534.39,65648
centrality,0.02,0.1,500,2,8900,10069,9404.0,9546.0,9701.0,9549.8,65648
centrality,0.02,0.1,500,4,8859,10121,9387.0,9527.5,9695.0,9530.706,65648
centrality,0.02,0.1,500,10,8982,10212,9407.75,9549.0,9681.0,9546.444,65648
degree,0.02,0.1,500,1,8961,10153,9391.75,9549.5,9685.0,9538.138,65648
degree,0.02,0.1,500,2,8943,10103,9418.75,9552.0,9688.25,9542.99,65648
degree,0.02,0.1,500,4,8984,10130,9386.0,9529.0,9691.0,9536.976,65648
degree,0.02,0.1,500,10,8878,10089,9414.75,9557.5,9701.0,9550.954,65648
