network,method,k,p,simulations,mean_final,std_final,min_final,max_final,median_final,reach_ratio_mean,reach_ratio_median
Facebook Penn94,distance_greedy,2,0.02,1000,19538.707,139.000144572555,19077.0,19928.0,19541.0,0.47040415543143294,0.47045936055469956
Facebook Penn94,distance_greedy,4,0.02,1000,19540.688,139.8517041553486,19094.0,20045.0,19546.0,0.4704518489984591,0.47057973805855163
Facebook Penn94,distance_greedy,10,0.02,1000,19540.192,136.81880909627347,19117.0,19982.0,19547.5,0.47043990755007703,0.47061585130970723
Facebook Penn94,highest_degree,2,0.02,1000,19535.803,137.0298119401773,19104.0,19929.0,19538.0,0.47033424017719566,0.4703871340523883
Facebook Penn94,highest_degree,4,0.02,1000,19538.063,138.49210480779797,19095.0,19987.0,19540.0,0.47038865080893677,0.4704352850539291
Facebook Penn94,highest_degree,10,0.02,1000,19538.135,137.5433638964525,19132.0,19955.0,19542.0,0.47039038424499224,0.47048343605546994
