network,method,k,p,simulations,mean_final,std_final,min_final,max_final,median_final,reach_ratio_mean,reach_ratio_median
Facebook Penn94,distance_greedy,2,0.2,1000,38744.615,38.702230396162406,38607.0,38851.0,38746.0,0.9327960082819722,0.9328293528505393
Facebook Penn94,distance_greedy,4,0.2,1000,38746.244,37.16002329562418,38597.0,38858.0,38745.0,0.9328352272727273,0.9328052773497689
Facebook Penn94,distance_greedy,10,0.2,1000,38745.385,38.42641492989379,38626.0,38861.0,38747.0,0.9328145464175656,0.9328534283513097
Facebook Penn94,highest_degree,2,0.2,1000,38744.688,38.76657714453913,38611.0,38868.0,38744.0,0.9327977657935286,0.9327812018489985
Facebook Penn94,highest_degree,4,0.2,1000,38746.152,36.624257429089695,38624.0,38869.0,38746.0,0.9328330123266564,0.9328293528505393
Facebook Penn94,highest_degree,10,0.2,1000,38745.768,37.512629518248566,38634.0,38873.0,38745.0,0.9328237673343605,0.9328052773497689
